song_id,song_name,album-name,song_listeners,song_url
1,JETLGGD,No Stylist,213168,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/JETLGGD
2,BERGDORF,No Stylist,104075,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/BERGDORF
3,<3MYGNG,No Stylist,104932,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/%3C3MYGNG
4,VTMNTSCOAT,No Stylist,158957,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/VTMNTSCOAT
5,NOSTYLIST,No Stylist,386692,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/NOSTYLIST
6,FAKENGGAS,No Stylist,136070,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/FAKENGGAS
7,SOARIN,No Stylist,86354,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/SOARIN
8,TURNINUP,No Stylist,126961,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/TURNINUP
9,LNLY,No Stylist,92256,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/LNLY
10,PRSSURE,No Stylist,82113,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/PRSSURE
11,ONTHETABLE,No Stylist,79631,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/ONTHETABLE
12,SWGSKOOL,No Stylist,79842,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/SWGSKOOL
13,CRYSTLCSTLES,No Stylist,92899,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/CRYSTLCSTLES
14,DANGEROUS,No Stylist,80526,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/DANGEROUS
15,MKEITSTOP,No Stylist,78502,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/MKEITSTOP
16,ONTHEFLOOR,No Stylist,76004,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/ONTHEFLOOR
17,PASSAROUND,No Stylist,69507,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/PASSAROUND
18,otw,No Stylist,64289,https://www.last.fm/pl/music/Destroy+Lonely/No+Stylist/otw
19,VETERAN (feat. Ken Carson),No Stylist,297,https://www.last.fm/pl/music/Destroy+Lonely+%5Bfeat.+Ken+Carson%5D/No+Stylist/VETERAN+(feat.+Ken+Carson)
1,how u feel?,If Looks Could Kill (Directors Cut),207382,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/how+u+feel%3F
2,if looks could kill,If Looks Could Kill (Directors Cut),351393,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/if+looks+could+kill
3,fly sht,If Looks Could Kill (Directors Cut),133711,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/fly+sht
4,which one,If Looks Could Kill (Directors Cut),99318,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/which+one
5,raver,If Looks Could Kill (Directors Cut),101387,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/raver
6,came in wit,If Looks Could Kill (Directors Cut),85823,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/came+in+wit
7,by the pound,If Looks Could Kill (Directors Cut),86999,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/by+the+pound
8,all the time,If Looks Could Kill (Directors Cut),82574,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/all+the+time
9,biggest problem,If Looks Could Kill (Directors Cut),91515,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/biggest+problem
10,chris paul,If Looks Could Kill (Directors Cut),80976,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/chris+paul
11,Catch a Kill,If Looks Could Kill (Directors Cut),82213,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/Catch+a+Kill
12,thats my,If Looks Could Kill (Directors Cut),35208,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/thats+my
13,superstar,If Looks Could Kill (Directors Cut),77505,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/superstar
14,new new,If Looks Could Kill (Directors Cut),86089,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/new+new
15,right now,If Looks Could Kill (Directors Cut),71967,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/right+now
16,which way,If Looks Could Kill (Directors Cut),66258,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/which+way
17,wagwan,If Looks Could Kill (Directors Cut),66064,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/wagwan
18,moment of silence,If Looks Could Kill (Directors Cut),65268,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/moment+of+silence
19,brazy girls,If Looks Could Kill (Directors Cut),70830,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/brazy+girls
20,goin up,If Looks Could Kill (Directors Cut),63529,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/goin+up
21,passenger,If Looks Could Kill (Directors Cut),60984,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/passenger
22,promo,If Looks Could Kill (Directors Cut),52293,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/promo
23,worth it,If Looks Could Kill (Directors Cut),55050,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/worth+it
24,redlight,If Looks Could Kill (Directors Cut),56615,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/redlight
25,make sum work,If Looks Could Kill (Directors Cut),54909,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/make+sum+work
26,safety - interlude,If Looks Could Kill (Directors Cut),68275,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/safety+-+interlude
27,your eyes,If Looks Could Kill (Directors Cut),63909,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/your+eyes
28,money & sex,If Looks Could Kill (Directors Cut),126248,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/money+&+sex
29,too damn rich,If Looks Could Kill (Directors Cut),35993,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/too+damn+rich
1,Bane,Bane,298408,https://www.last.fm/pl/music/Destroy+Lonely/Bane/Bane
30,spillin,If Looks Could Kill (Directors Cut),35341,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/spillin
31,check the fleet,If Looks Could Kill (Directors Cut),29299,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/check+the+fleet
32,back sippin,If Looks Could Kill (Directors Cut),42030,https://www.last.fm/pl/music/Destroy+Lonely/If+Looks+Could+Kill+(Directors+Cut)/back+sippin
1,Top Floor Boss,</3²,71846,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Top+Floor+Boss
1,Pop Shit / Xtra,</3,70827,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Pop+Shit+%2F+Xtra
2,Oh Yeah,</3²,101392,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Oh+Yeah
3,Pop Shit / Xtra,</3²,70827,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Pop+Shit+%2F+Xtra
4,Miley Cyrus,</3²,99242,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Miley+Cyrus
5,F.U.N,</3²,145687,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/F.U.N
6,Ya Ight,</3²,63803,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Ya+Ight
7,Dover Street Market,</3²,99205,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Dover+Street+Market
8,Tokyo Mission Impossible [Explicit],</3²,381,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Tokyo+Mission+Impossible+%5BExplicit%5D
9,OK BAE,</3²,56845,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/OK+BAE
10,Take a Pic (Interlude),</3²,37194,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Take+a+Pic+(Interlude)
2,Miley Cyrus,</3,99242,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Miley+Cyrus
3,F.U.N,</3,145687,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/F.U.N
4,Ya Ight,</3,63803,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Ya+Ight
5,Tokyo Mission Impossible [Explicit],</3,381,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Tokyo+Mission+Impossible+%5BExplicit%5D
6,OK BAE,</3,56845,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/OK+BAE
7,Take a Pic (Interlude),</3,37194,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Take+a+Pic+(Interlude)
8,Movie,</3,49703,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Movie
9,Komin' Back,</3,47636,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Komin%27+Back
1,In The Air,In The Air,148513,https://www.last.fm/pl/music/Destroy+Lonely/In+The+Air/In+The+Air
11,Movie,</3²,49703,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Movie
12,Groupie Btch,</3²,36924,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Groupie+Btch
13,Do or Die,</3²,42932,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Do+or+Die
14,Komin' Back,</3²,47636,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Komin%27+Back
15,CDG,</3²,42142,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/CDG
16,Diamonds & Foreigns,</3²,52476,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3%C2%B2/Diamonds+&+Foreigns
10,Diamonds & Foreigns,</3,52476,https://www.last.fm/pl/music/Destroy+Lonely/%3C%2F3/Diamonds+&+Foreigns
1,if looks could kill,if looks could kill,351393,https://www.last.fm/pl/music/Destroy+Lonely/if+looks+could+kill/if+looks+could+kill
1,JETLGGD,NS+ (ULTRA),213168,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/JETLGGD
1,Usual,"Forever, ILY.",32836,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Usual"
2,BERGDORF,NS+ (ULTRA),104075,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/BERGDORF
3,<3MYGNG,NS+ (ULTRA),104932,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/%3C3MYGNG
4,VTMNTSCOAT,NS+ (ULTRA),158957,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/VTMNTSCOAT
5,NOSTYLIST,NS+ (ULTRA),386692,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/NOSTYLIST
6,FAKENGGAS,NS+ (ULTRA),136070,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/FAKENGGAS
7,BLITZ,NS+ (ULTRA),101192,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/BLITZ
8,SOARIN,NS+ (ULTRA),86354,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/SOARIN
9,TURNINUP,NS+ (ULTRA),126961,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/TURNINUP
10,LNLY,NS+ (ULTRA),92256,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/LNLY
1,eazy,Darkhorse,20964,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/eazy
1,20Yrs Old,20YRS OLD,75204,https://www.last.fm/pl/music/Destroy+Lonely/20YRS+OLD/20Yrs+Old
2,Mollywrld,"Forever, ILY.",46605,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Mollywrld"
3,Luna,"Forever, ILY.",25439,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Luna"
4,Traphousemansion (Interlude),"Forever, ILY.",28337,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Traphousemansion+(Interlude)"
5,Mud,"Forever, ILY.",86078,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Mud"
6,Cutie,"Forever, ILY.",29970,"https://www.last.fm/pl/music/Destroy+Lonely/Forever,+ILY./Cutie"
11,PRSSURE,NS+ (ULTRA),82113,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/PRSSURE
12,ONTHETABLE,NS+ (ULTRA),79631,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/ONTHETABLE
13,HAVINMYWAY,NS+ (ULTRA),61403,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/HAVINMYWAY
14,ALLURE,NS+ (ULTRA),65679,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/ALLURE
15,SWGSKOOL,NS+ (ULTRA),79842,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/SWGSKOOL
16,CRYSTLCSTLES,NS+ (ULTRA),92899,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/CRYSTLCSTLES
17,DANGEROUS,NS+ (ULTRA),80526,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/DANGEROUS
18,MKEITSTOP,NS+ (ULTRA),78502,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/MKEITSTOP
2,Place,Darkhorse,21227,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/Place
3,different drugz,Darkhorse,16233,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/different+drugz
4,4Seasons,Darkhorse,19985,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/4Seasons
5,"guap, glock, nd sticks",Darkhorse,16646,"https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/guap,+glock,+nd+sticks"
6,trapped on marz (feat. Nezzus),Darkhorse,779,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/trapped+on+marz+(feat.+Nezzus)
7,vvs valentine,Darkhorse,78112,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/vvs+valentine
8,frank lucas,Darkhorse,19877,https://www.last.fm/pl/music/Destroy+Lonely/Darkhorse/frank+lucas
19,ONTHEFLOOR,NS+ (ULTRA),76004,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/ONTHEFLOOR
20,LOUVRE,NS+ (ULTRA),65892,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/LOUVRE
21,PASSAROUND,NS+ (ULTRA),69507,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/PASSAROUND
22,otw,NS+ (ULTRA),64289,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/otw
23,VETERAN,NS+ (ULTRA),199,https://www.last.fm/pl/music/Destroy+Lonely+%5Bfeat.+Ken+Carson%5D/NS%252B+(ULTRA)/VETERAN
24,NEVEREVER,NS+ (ULTRA),233950,https://www.last.fm/pl/music/Destroy+Lonely/NS%252B+(ULTRA)/NEVEREVER
1,N(N),n(n),33525,https://www.last.fm/pl/music/Destroy+Lonely/n(n)/N(N)
1,red dead,red dead,47195,https://www.last.fm/pl/music/Destroy+Lonely/red+dead/red+dead
1,Seasons,LORD,22358,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Seasons
1,Luv 4 Ya,luv 4 ya,94568,https://www.last.fm/pl/music/Destroy+Lonely/luv+4+ya/Luv+4+Ya
1,Vamp,vamp,37489,https://www.last.fm/pl/music/Destroy+Lonely/vamp/Vamp
2,Which 1 / Klueless,LORD,29432,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Which+1+%2F+Klueless
3,Layover,LORD,46709,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Layover
4,Devil Wears Prada,LORD,39056,https://www.last.fm/pl/music/Destroy+Lonely/LORD/Devil+Wears+Prada
1,Tied N,Tied N,36803,https://www.last.fm/pl/music/Destroy+Lonely/Tied+N/Tied+N
1,undercover,undercover,31182,https://www.last.fm/pl/music/Destroy+Lonely/undercover/undercover
1,dream about me.,dream about me.,31762,https://www.last.fm/pl/music/Destroy+Lonely/dream+about+me./dream+about+me.
1,In The Air,In the Air - Single,148513,https://www.last.fm/pl/music/Destroy+Lonely/In+the+Air+-+Single/In+The+Air
1,Bane,Bane - Single,298408,https://www.last.fm/pl/music/Destroy+Lonely/Bane+-+Single/Bane
1,if looks could kill,if looks could kill - Single,351393,https://www.last.fm/pl/music/Destroy+Lonely/if+looks+could+kill+-+Single/if+looks+could+kill
1,Online,Underworld.,2492,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Online
2,Margiela Man,Underworld.,5069,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Margiela+Man
3,Expiration Date,Underworld.,3160,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Expiration+Date
4,Real Life,Underworld.,1354,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Real+Life
5,Mochiatto,Underworld.,1956,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Mochiatto
6,Nobody,Underworld.,2240,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Nobody
7,Kool,Underworld.,2395,https://www.last.fm/pl/music/Destroy+Lonely/Underworld./Kool
8,snot nose,Underworld.,6,https://www.last.fm/pl/music/Destroy+Lonely+feat.+BigSmokeChapo/Underworld./snot+nose
1,In God We Trust,In God We Trust,3980,https://www.last.fm/pl/music/Destroy+Lonely/In+God+We+Trust/In+God+We+Trust
1,tokyoto,XO,3091,https://www.last.fm/pl/music/Destroy+Lonely/XO/tokyoto
1,Miley Cyrus,Miley Cyrus,99242,https://www.last.fm/pl/music/Destroy+Lonely/Miley+Cyrus/Miley+Cyrus
1,FUK GOIN,FUK GOIN,7569,https://www.last.fm/pl/music/Destroy+Lonely/FUK+GOIN/FUK+GOIN
1,Forever,Blak Amerika Presents: Love Lasts Forever,60121,https://www.last.fm/pl/music/Destroy+Lonely/Blak+Amerika+Presents:+Love+Lasts+Forever/Forever
2,i got em,XO,2332,https://www.last.fm/pl/music/Destroy+Lonely/XO/i+got+em
3,okay ya!,XO,2460,https://www.last.fm/pl/music/Destroy+Lonely/XO/okay+ya!
4,do the most …,XO,2436,https://www.last.fm/pl/music/Destroy+Lonely/XO/do+the+most+%E2%80%A6
5,ok / what i do,XO,2209,https://www.last.fm/pl/music/Destroy+Lonely/XO/ok+%2F+what+i+do
